
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние       PID
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49229  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49287  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49304  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49523  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49538  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49553  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49568  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49585  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49604  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:49692  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2561  [fe80::d409:7142:582e:e52%16]:54272  ESTABLISHED     5728
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49227  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49286  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49303  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49507  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49537  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49552  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49567  ESTABLISHED     5628
  TCP    [fe80::d409:7142:582e:e52%16]:2562  [fe80::d409:7142:582e:e52%16]:49584  ESTABLISHED     5628
